Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Pepe 2.0 USD,PEPE2027276-USD,2023-09-14,7.722359640638388e-09,8.189418032600315e-09,7.427218395861246e-09,7.542133140248097e-09,7.542133140248097e-09,1240129
Pepe 2.0 USD,PEPE2027276-USD,2023-09-15,7.524428191629795e-09,7.524428191629795e-09,7.381204980561051e-09,7.40499128681904e-09,7.40499128681904e-09,1006021
Pepe 2.0 USD,PEPE2027276-USD,2023-09-18,7.1739916229773826e-09,7.359441056564718e-09,6.7403562731271904e-09,6.862234336324491e-09,6.862234336324491e-09,992604
Pepe 2.0 USD,PEPE2027276-USD,2023-09-19,6.85560186397538e-09,7.008932545460311e-09,6.7758945121454425e-09,6.907603378181193e-09,6.907603378181193e-09,682833
Pepe 2.0 USD,PEPE2027276-USD,2023-09-20,6.897582949250136e-09,8.196203715726824e-09,6.771629479374042e-09,7.579182614847468e-09,7.579182614847468e-09,2882832
Pepe 2.0 USD,PEPE2027276-USD,2023-09-21,7.668076840161575e-09,7.670471369181087e-09,6.867411084243713e-09,6.889244286156781e-09,6.889244286156781e-09,1236379
Pepe 2.0 USD,PEPE2027276-USD,2023-09-24,7.071132124281121e-09,7.081949249254649e-09,7.044531180611102e-09,7.060394047186946e-09,7.060394047186946e-09,798702
Pepe 2.0 USD,PEPE2027276-USD,2023-09-25,7.1189965034079705e-09,7.153951209204479e-09,6.910346517230437e-09,6.945337638342153e-09,6.945337638342153e-09,813548
Pepe 2.0 USD,PEPE2027276-USD,2023-09-26,6.959069764889136e-09,7.124136391922775e-09,6.683913422733667e-09,6.708773092611864e-09,6.708773092611864e-09,964666
Pepe 2.0 USD,PEPE2027276-USD,2023-09-27,6.687060682963874e-09,7.1045453964302405e-09,6.687060682963874e-09,7.061194295943096e-09,7.061194295943096e-09,874260
Pepe 2.0 USD,PEPE2027276-USD,2023-09-28,7.0879919711330786e-09,7.114774991379136e-09,6.886986536613904e-09,6.907069138861743e-09,6.907069138861743e-09,644644
Pepe 2.0 USD,PEPE2027276-USD,2023-09-29,6.911287542266109e-09,7.208036389982908e-09,6.8835808164635645e-09,6.97727386977931e-09,6.97727386977931e-09,965132
Pepe 2.0 USD,PEPE2027276-USD,2023-09-30,6.949266939670906e-09,7.042399552403822e-09,6.862496348958302e-09,6.9097132460171914e-09,6.9097132460171914e-09,679826
Pepe 2.0 USD,PEPE2027276-USD,2023-10-01,6.921348827404472e-09,7.083415631825574e-09,6.84363632430518e-09,7.083415631825574e-09,7.083415631825574e-09,726349
