Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-03,0.000387000007322,0.0004030000127386,0.0003499999875202,0.0003720000095199,0.0003720000095199,2634212
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-04,0.0003720000095199,0.0003729999880306,0.0002730000123847,0.0002749999985098,0.0002749999985098,4608097
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-05,0.0002749999985098,0.0002800000074785,0.0002090000052703,0.0002110000059474,0.0002110000059474,3151861
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-06,0.0002110000059474,0.0002110000059474,0.0001579999952809,0.0001610000035725,0.0001610000035725,4279135
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-07,0.0001610000035725,0.0001630000042496,0.00011899999663,0.0001199999969685,0.0001199999969685,5503706
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-08,0.0001199999969685,0.0001199999969685,7.400000322377309e-05,7.400000322377309e-05,7.400000322377309e-05,4694996
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-09,7.400000322377309e-05,7.599999662488699e-05,3.899999865097925e-05,3.899999865097925e-05,3.899999865097925e-05,4711409
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-10,3.899999865097925e-05,3.9999998989515007e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,4210289
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-11,2.099999983329326e-05,2.099999983329326e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,4209300
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-12,1.1000000085914508e-05,1.1000000085914508e-05,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4469103
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-13,4.999999873689376e-06,4.999999873689376e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,3830669
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-14,1.999999994950485e-06,9.999999747378752e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5904291
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3898597
SmarterCoin (SMRTr) USD,SMRTR-USD,2021-12-16,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,284910
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-14,5.189705021280133e-08,5.2670124262022e-08,5.0921467931175364e-08,5.11121882595944e-08,5.11121882595944e-08,829
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-15,5.132038083388579e-08,5.18456957365743e-08,5.0619689773157006e-08,5.0619689773157006e-08,5.0619689773157006e-08,1144
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-16,5.0544194607482495e-08,5.0544194607482495e-08,5.0544194607482495e-08,5.0544194607482495e-08,5.0544194607482495e-08,517
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-17,5.0544194607482495e-08,5.0727607003864263e-08,5.009000858535728e-08,5.021882643063692e-08,5.021882643063692e-08,7
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-18,5.021882643063692e-08,5.021882643063692e-08,4.848352830322256e-08,4.8831630294898793e-08,4.8831630294898793e-08,106
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-19,4.9043126892911466e-08,4.993566804500915e-08,4.858543789509896e-08,4.952900312105157e-08,4.952900312105157e-08,0
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-21,4.8541625830012e-08,4.8541625830012e-08,4.853425394912848e-08,4.853425394912848e-08,4.853425394912848e-08,48
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-22,4.740327241847808e-08,4.740327241847808e-08,4.740327241847808e-08,4.740327241847808e-08,4.740327241847808e-08,48
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-24,4.757698590651671e-08,4.779401763244096e-08,4.7472514808077904e-08,4.769497508050336e-08,4.769497508050336e-08,6
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-25,4.780200768550458e-08,4.780200768550458e-08,4.65489762291327e-08,4.680116205690865e-08,4.680116205690865e-08,515
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-26,4.6883581461543145e-08,4.696272526416578e-08,4.4811297783553534e-08,4.575727530209407e-08,4.575727530209407e-08,1077
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-27,4.5715378149679984e-08,5.366840483134183e-08,4.5704005913194123e-08,5.009302839198426e-08,5.009302839198426e-08,9116
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-28,5.010209136457888e-08,5.560744398280804e-08,5.008895698210838e-08,5.387487789221269e-08,5.387487789221269e-08,5010
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-29,5.401151526029936e-08,5.502922562072855e-08,5.388310597709278e-08,5.41075664273194e-08,5.41075664273194e-08,1902
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-09-30,5.421590287824075e-08,5.643507350328037e-08,5.3978407521526606e-08,5.622032261953792e-08,5.622032261953792e-08,701
SmarterCoin (SMRTr) USD,SMRTR-USD,2023-10-01,5.621031107239105e-08,5.873631536701396e-08,5.512270107033146e-08,5.843624606427511e-08,5.843624606427511e-08,831
